Method,n_Feat,Selected Features,RMSE,R-squared,Adj. R-squared,CV R^2
Mutual Info (top),2,"[R&D Spend, Marketing Spend]",8198.79719078849,0.9474386447268488,0.9324211146488056,0.9150040260108818
Backward Elimination,1,[R&D Spend],8274.868018225989,0.946458760778722,0.9397661058760622,0.9069464167035113
Forward Selection,1,[R&D Spend],8274.868018225989,0.946458760778722,0.9397661058760622,0.9069464167035113
RFE (CV-optimal),3,"[R&D Spend, Marketing Spend, State_Florida]",8376.450519771648,0.9451361446943114,0.9177042170414671,0.878004657371515
Lasso L1,5,"[R&D Spend, Administration, Marketing Spend, State_Florida, State_New York]",9137.99015279494,0.9347068473282425,0.8530904064885456,0.8613328292604046
